"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B21K3/00","Making engine or like machine parts not covered by sub-groups of B21K1/00; Making propellers or the like","B21K1/00","Air conditioningDynamo electric machines","F24F|H02K","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of engine or machine parts, e.g. propellers, magnet wheel disks, scrolls for air conditioners. Illustrative examples of subject matter classified in this group:"
"B21K3/02","cylinder heads","","Cylinder heads","F02F1/24","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of cylinder heads. Illustrative examples of subject matter classified in this group:"
"B21K3/04","blades, e.g. for turbines; Upsetting of blade roots","","Making turbine or like blades by operations not covered in any other single subclassBlades of non positive displacement machines","B23P15/02|F01D5/12","","","","This place covers: Metal forging, pressing or upsetting methods dedicated to the manufacture of blades, e.g. for turbines. Illustrative examples of subject matter classified in this group:"
"B21K5/00","Making tools or tool parts, e.g. pliers","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of tools or tool parts, a non-limiting example being pliers."
"B21K5/02","drilling-tools or other for making or working on holes","","Metal drilling toolsWood boring or turning toolsEarth drilling bits","B23B51/00|B27G15/00|E21B10/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of drilling tools or other for making or working on holes."
"B21K5/04","twisting-tools, e.g. drills, reamers","","Dentistry root canal filesTools for drilling machinesWood boring or turning tools","A61C5/42|B23B51/00|B27G15/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of twisting tools, e.g. drills, reamers. Illustrative examples of subject matter classified in this group:"
"B21K5/06","Dressing, e.g. sharpening rock drills","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of dressing, e.g. sharpening rock drills. Illustrative examples of subject matter classified in this group:"
"B21K5/08","drifting tools","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of drifting tools. Remark: this subgroup is empty."
"B21K5/10","Forming drill-bit shanks","","Chucks and tool shanksTools or bench devices not otherwise provided for","B23B2231/00|B25B","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of drill-bit shanks. Illustrative examples of subject matter classified in this group:"
"B21K5/12","other cutting tools  (cutlery wares B21K11/00)","B21K11/00","Cutting stonesMining picks","B28D1/00|E21C35/18","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of other cutting tools, e.g. chisels, saw blades, chopping blades, nippers, etc. Illustrative examples of subject matter classified in this group:"
"B21K5/14","hand hammers","","Hand hammers","B25D1/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of hand hammers."
"B21K5/16","tools for turning nuts","","Spanners, wrenches","B25B13/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of tool for turning nuts. Illustrative examples of subject matter classified in this group:"
"B21K5/18","handles or parts therefor","","Surgical scalpels with detachable blade","A61B17/3213","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of handtools or parts therefor."
"B21K5/20","Making working faces of dies, either recessed or outstanding","","Metal forging diesMaking dies by operations not covered in any other single subclassDies for working of plastic material","B21J13/02|B23P15/24|B29C","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of working faces of dies, either recessed or outstanding. Illustrative examples of subject matter classified in this group:"
"B21K7/00","Making railway appurtenances; Making vehicle parts","","Making machine elementsMaking engine or like machine parts","B21K1/00|B21K3/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of railway appurtenances or vehicle parts."
"B21K7/02","parts for permanent way  (spikes B21K1/72)","B21K1/72","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of parts for permanent way. Illustrative examples of subject matter classified in this group:"
"B21K7/04","switch tongues","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of switch tongues."
"B21K7/06","sleepers","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of sleepers."
"B21K7/08","base plates for rails, e.g. chairs","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of base plates for rails, e.g. chairs."
"B21K7/10","rails joints","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of rails joints."
"B21K7/12","parts for locomotives or vehicles, e.g. frames, underframes","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of parts for locomotives or vehicles, e.g. frames, underframes."
"B21K7/14","brake rigging or brake parts","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of brake rigging or brake parts."
"B21K9/00","Reconditioning railroad accessories, e.g. rails","","Composite power railsComposite rails","B60M1/302|E01B5/08","","","","This place covers: Metal forging or pressing methods dedicated to the reconditioning of railroad accessories, e.g. rails. Illustrative examples of subject matter classified in this group:"
"B21K11/00","Making cutlery wares; Making garden tools or the like","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of cutlery wares or garden tools. The expression ""or the like"" is to be ignored."
"B21K11/02","knives","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of knives."
"B21K11/04","spoons; table forks","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of spoons or table forks."
"B21K11/06","scissors","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of scissors."
"B21K11/08","sickles; scythes","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of sickles or scythes."
"B21K11/10","axes; picks","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of axes or picks. Illustrative examples of subject matter classified in this group:"
"B21K11/12","spades; shovels","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of spades or shovels. Illustrative examples of subject matter classified in this group:"
"B21K11/14","rakes; garden forks","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of rakes or garden forks. Illustrative examples of subject matter classified in this group:"
"B21K13/00","Making locksmiths' goods, e.g. handles for cases","","Details of locks","E05B15/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of locksmiths' goods, e.g. handles for cases."
"B21K13/02","hinges","","Construction of hinges","E05D5/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of hinges. Illustrative examples of subject matter classified in this group:"
"B21K15/00","Making blacksmiths' goods","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of blacksmith's goods."
"B21K15/02","horseshoes; appurtenances therefor","","Shoeing of animals","A01L","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of horseshoes or appurtenances therefor. Illustrative examples of subject matter classified in this group:"
"B21K15/04","caulks","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of caulks Illustrative examples of subject matter classified in this group:"
"B21K15/06","metal attachments for footwear, e.g. wearresisting plates","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of metal attachments for footwear, e.g. wear-resisting plates."
"B21K17/00","Making sport articles, e.g. skates","","Golf clubs","A63B53/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of sports articles, e.g. skates or golf clubs. Illustrative examples of subject matter classified in this group:"
"B21K19/00","Making articles for agricultural machinery","","Dredging, soil-shifting","E02F","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of articles for agricultural machinery Illustrative examples of subject matter classified in this group:"
"B21K19/02","plough blades; ploughshares","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of plough blades or ploughshares."
