"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"H02G3/0666","{with means clamping the armour of the conductor  (H02G3/0675, H02G3/0683 take precedence)}","H02G3/0675|H02G3/0683","","","","","",""
"H02G3/0675","{with bolts operating in a direction parallel to the conductors}","","","","","","",""
"H02G3/0683","{with bolts operating in a direction transverse to the conductors}","","","","","","",""
"H02G3/0691","{Fixing tubing to casing by auxiliary means co-operating with indentations of the tubing, e.g. with tubing-convolutions}","","","","","","","This place covers: Connection of corrugated tubings"
"H02G3/08","Distribution boxes; Connection or junction boxes  (cable terminations H02G15/02)","H02G15/02","","","","","",""
"H02G3/081","{Bases, casings or covers}","","","","","","","This place covers: Constructional details of boxes, housings and enclosures"
"H02G3/083","{Inlets}","","","","","","Cable fittingcable entry","This place covers: Cable entry into electrical box, housings and enclosures Through holes or openings Grommets"
"H02G3/085","{including knock-out or tear-out sections}","","","","","","","This place covers: The cable entry is closed before use by a removable part"
"H02G3/086","{Assembled boxes}","","","","","","","This place covers: Connection of two boxes, housings and enclosures or part of boxes in order to increase inner volume"
"H02G3/088","{Dustproof, splashproof, drip-proof, waterproof, or flameproof casings or inlets}","","","","","","","This place covers: Fire or heat protection of boxes, housings and enclosures Sound protection Water ingress protection, e.g. with rubber joint Evacuation of water from inside of box, housings and enclosures"
"H02G3/105","{in association with a plinth, channel, raceway or similar}","","","","","","","This place covers: Mounting of boxes, housings and enclosures on raceway or at a distance of raceway"
"H02G3/12","for flush mounting","","Pre establishment of boxes in concrete, ","E04G15/04|E04G15/06","","","","This place covers: Boxes, housings and enclosures mounted inside walls"
"H02G3/121","{in plain walls}","","","","","","","This place covers: Boxes, housings and enclosures are covered by wall material on sides and bottom"
"H02G3/123","{in thin walls}","","","","","","","This place covers: Boxes, housings and enclosures are inserted and fixed into a hole in dry walls"
"H02G3/125","{with supporting bar extending between two separate studs of a wall frame}","","","","","","","This place covers: Boxes, housings and enclosures mounted between two studs behind dry wall or ceiling panels"
"H02G3/126","{with supporting means for mounting on a single wall stud}","","","","","","","This place covers: Boxes, housings and enclosures mounted on one stud behind dry wall or ceiling panels Boxes, housings and enclosures comprising nail or screw passage"
"H02G3/128","{in plinths, channels, raceways or similar}","","","","","","","This place covers: Flush mounted boxes, housings and enclosures into raceways"
"H02G3/16","structurally associated with support for line-connecting terminals within the box  (terminals H01R9/00)","H01R9/00","","","","","","This place covers: Provisions inside the boxes, housings and enclosures for cable connecting"
"H02G3/18","providing line outlets","","","","","","","This place covers: Fastening of apparatus into electrical boxes, housings and enclosures"
"H02G3/185","{Floor outlets and access cups}","","","","","","",""
"H02G3/20","Ceiling roses {or other lighting sets}","","Wall, ceiling, or floor base for lamps","F21V21/02","","","",""
"H02G3/22","Arrangements for leading cables or lines through walls, floors, or ceilings, e.g. into building  (devices for use where pipes, cables or protective tubing pass through walls or partitions F16L5/00; lead-in or lead-through insulators H01B17/26; insulating tubes or sleeves H01B17/58)","F16L5/00|H01B17/26|H01B17/58","Pipes, cables or protective tubing passing through wallsLead-in or lead-through insulatorsIinsulating tubes or sleeves","F16L5/00|H01B17/26|H01B17/58","","","",""
"H02G3/24","{Installation of lines or cables on walls, ceilings or floors by means of insulators  (insulators H01B17/00)}","H01B17/00","Insulators in general","H01B17/00","","","",""
"H02G3/26","{Installations of cables, lines, or separate protective tubing therefor directly on or in walls, ceilings, or floors  (by means of insulators H02G3/24; supports for pipes, cables or protective tubing F16L3/00; hose-clips F16L33/02)}","H02G3/24|F16L3/00|F16L33/02","Supports for pipes, cables or protective tubingHose clips","F16L3/00|F16L33/02","","","",""
"H02G3/30","Installations of cables or lines on walls, floors or ceilings  (supports for pipes, cables or protective tubing F16L3/00; hose clips F16L33/02)","F16L3/00|F16L33/02","Support for pipes, cables or protective tubingHose clips","F16L3/00|F16L33/02","","","","This place covers: Means for fastening cables to walls"
"H02G3/32","using mounting clamps","","Hose clips","F16L33/02","","","","This place covers: Clips, anchors, bands directly in contact with cables"
"H02G3/34","using separate protective tubing","","","","","","","This place covers: Mounting of cable conduits"
"H02G3/36","Installations of cables or lines in walls, floors or ceilings  (H02G3/22 takes precedence)","H02G3/22","","","","","","This place covers: Holding means for cables in walls"
"H02G3/385","{in modular floors, e.g. access floors}","","Construction of modular floors","E04F15/02","","","",""
"H02G3/388","{in modular walls, e.g. wall panels}","","","","","","",""
"H02G5/00","Installations of bus-bars","","Flat insulated conductorsBusbar connections in ac/dc convertionPrinted high current conductorsWiring on insulating boards","H01B7/08|H02M7/003|H05K1/0263|H05K7/08","","","","This place covers: Installation of flat, laminated or tubular non-insulated busbars, mostly for high current/voltage applications. Medium to very high voltage, gas-insulated tubular busbars arranged in a metallic casing."
"H02G5/04","Partially-enclosed installations, e.g. in ducts and adapted for sliding or rolling current collection  (non-rotary current collectors H01R41/00)","H01R41/00","Non-rotary current collectors ","H01R41/00","","","",""
"H02G7/00","Overhead installations of electric lines or cables  (installations of bus-bars H02G5/00; trolley wires or contact lines for electric railways B60M; fastening conductors to insulators H01B17/00, e.g. H01B17/06, H01B17/16, H01B17/22; protection against abnormal electric conditions H01H; hook contacts for temporary connections to overhead lines H01R11/14)","H02G5/00|B60M|H01B17/00|H01B17/06|H01B17/16|H01B17/22|H01H|H01R11/14","Trolley wires or contact lines for electric railwaysFastening conductors to insulatorsProtection against abnormal electric conditionsHook contacts for temporary connections to overhead lines","B60M1/00|H01B17/00|H01H|H01R11/14","","","","This place covers: Installation of field power lines Fastening to masts and poles Warning devices Birds or rodents deterring means"
"H02G7/02","Devices for adjusting or maintaining mechanical tension, e.g. take-up device","","Arrangements for supporting or suspending trolley wires","B60M1/20","","","","This place covers: Weight or spring activated means pulling on the cables"
