"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06F81/10","Top board elements","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/12","Sleeve boards; Attaching means therefor","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F81/14","Means for attaching covers","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F83/00","Coverings or pads for ironing or pressing members","","Ironing machines using two or more co-operating pressing rollersIroning boards","D06F61/00|D06F81/00","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F85/00","Independent elements for interposition between the article and the ironing or pressing surface","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F87/00","Apparatus for moistening or otherwise conditioning the article to be ironed or pressed  (apparatus for smoothing or removing creases from garments or other textile articles by formers, cores, stretchers or internal frames, with the application of heat or steam D06F73/00 {; devices used in combination with a laundry dryer D06F58/203})","D06F73/00|D06F58/203","","","","","","This place covers: Steamers."
"D06F89/00","Apparatus for folding textile articles with or without stapling","","","","","","Seamgenerally formed by two pieces of cloth stitched and/or glued togetherFoldgenerally formed by folding a piece of cloth onto itself, such that a folding line is formed","This place covers: Devices for creating temporary folds."
"D06F89/005","{Manual folding devices, e.g. for folding bed sheets  (D06F89/02 takes precedence)}","D06F89/02","","","","","","This place covers: Manual folding devices for any kind of household textiles with the exception of textile articles to be worn. Illustrative example of subject matter classified in this group."
"D06F89/02","of textile articles to be worn, e.g. shirts","","","","","","","This place covers: Manual folding devices for textile articles to be worn, with exception of shirts or parts thereof. Illustrative example of subject matter classified in this group."
"D06F89/023","{of shirts}","","","","","","","This place covers: Manual folding devices for shirts or parts thereof. Illustrative example of subject matter classified in this group."
"D06F89/026","{Details, e.g. collar holders}","","","","","","","This place covers: Collar holders for manual folding devices for shirts. Illustrative example of subject matter classified in this group."
"D06F91/00","Starching apparatus","","","","","","","This place covers: Manual devices for wetting clothes. Illustrative example of subject matter classified in this group."
"D06F93/00","Counting, sorting, or marking arrangements specially adapted for laundry purposes","","","","","","","This place covers: Industrial clothes counting or sorting arrangements. Illustrative example of subject matter classified in this group."
"D06F93/005","{Marking arrangements}","","Record carriers with integrated circuit chips","G06K19/07","","","","This place covers: Marks as well as marking arrangements."
"D06F95/00","Laundry systems or arrangements of apparatus or machines; Mobile laundries   (D06F31/00 takes precedence)","D06F31/00","Laundries as buildings","E04H","","","","This place covers: Industrial laundry arrangements comprising a combination of laundry sorting and/or transporting and/or treating appliances. Illustrative example of subject matter classified in this group."
"D06F95/002","{Baskets or bags specially adapted for holding or transporting laundry; Supports therefor}","","Sack holders, ","B65B67/12|B65B67/1205","","","","This place covers: Basket or bags for holding or transporting laundry. Illustrative example of subject matter classified in this group."
"D06F95/004","{Bags; Supports therefor}","","","","","","","This place covers: Supports for bags for holding or transporting laundry. Illustrative example of subject matter classified in this group."
"D06F95/006","{Bags for holding the laundry during washing  (D06F5/005 takes precedence)}","D06F5/005","","","","","","This place covers: Bags for holding or transporting laundry, which are suitable for being washed together with their content. Illustrative example of subject matter classified in this group."
"D06F95/008","{Devices for keeping articles together during laundering, e.g. for keeping socks in pairs  (D06F95/004 takes precedence); Devices for protecting or shielding certain parts of the articles during laundering, e.g. button protectors}","D06F95/004","Clothes pegsPairing socksFriction grip fastenings / using pivoting jaws","D06F55/00|A41B11/002|F16B2/10","","","","This place covers: Devices for shielding delicate clothing articles (e.g brassieres) and/or for keeping small articles (e.g. socks) together. Illustrative example of subject matter classified in this group."
